,player_name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,is_new_player,total_points_sum,total_points_mean,non_zero_gw_count,total_points_non_zero_sum,total_points_non_zero_mean,price,position,DC_points,first_10_mean,first_5_mean
480,Murillo Costa dos Santos,Nott'm Forest,1.0,10.0,6.0,1.0,,,0.0,2.0,0.0,9.0,,6.0,5.0,9.0,0.0,8.0,1.0,8.0,2.0,1.0,1.0,6.0,5.0,8.0,,2.0,3.0,1.0,0.0,1.0,2.0,2.0,,,2.0,7.0,1.0,2.0,False,112.0,3.5,28,112.0,4.0,5.5,Defender,38.0,3.9,4.6
392,Phil Foden,Man City,4.0,2.0,2.0,2.0,2.0,1.0,15.0,2.0,9.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,8.0,3.0,9.333333333333334,7.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,9.333333333333334,0.0,0.0,0.0,1.0,1.0,9.333333333333334,0.0,0.0,2.0,0.0,False,105.0,2.763157894736842,30,105.0,3.5,8.0,Midfielder,,3.9,2.4
455,Eberechi Eze,Crystal Palace,10.0,10.0,0.0,5.0,6.0,2.0,2.0,1.0,1.0,2.0,9.0,0.0,3.0,4.666666666666667,3.0,2.0,4.666666666666667,6.0,0.0,7.0,5.0,4.666666666666667,5.0,2.0,1.0,5.0,6.0,1.0,16.0,5.0,7.0,2.0,2.0,3.0,2.0,1.0,2.0,0.0,False,148.0,3.8947368421052633,34,148.0,4.352941176470588,7.5,Midfielder,,3.9,6.2
85,Youri Tielemans,Aston Villa,7.0,3.0,3.0,3.0,3.0,11.0,3.75,2.0,2.0,1.0,1.0,3.0,5.0,3.0,2.0,7.0,3.0,2.0,8.0,6.0,2.0,2.0,1.0,2.0,0.0,2.0,3.75,2.0,2.0,1.0,1.0,3.0,3.75,8.0,0.0,3.0,2.0,7.0,False,124.25,3.2697368421052633,36,124.25,3.451388888888889,6.0,Midfielder,,3.875,3.8
51,Dango Ouattara,Bournemouth,1.0,2.0,1.0,1.0,1.0,6.666666666666667,3.0,2.0,21.0,0.0,2.0,2.0,6.666666666666667,3.0,0.0,6.0,3.3333333333333335,0.0,2.0,3.0,1.0,2.0,2.0,1.0,0.0,4.0,2.0,3.3333333333333335,1.0,6.666666666666667,2.0,1.0,4.0,3.3333333333333335,3.0,6.0,0.0,2.0,False,111.0,2.9210526315789473,33,111.00000000000001,3.363636363636364,6.0,Midfielder,,3.866666666666667,1.2
535,Yoane Wissa,Brentford,7.0,2.0,6.666666666666667,2.0,2.0,7.0,6.0,2.0,2.0,2.0,7.0,2.0,8.666666666666666,9.0,0.0,8.666666666666666,1.0,13.0,2.0,2.0,8.666666666666666,2.0,1.0,2.0,5.0,2.0,11.0,6.666666666666667,8.0,0.0,6.666666666666667,9.0,10.0,1.0,0.0,7.0,11.0,2.0,False,185.0,4.868421052631579,35,185.0,5.285714285714286,7.5,Forward,,3.866666666666667,3.9333333333333336
370,Jørgen Strand Larsen,Wolves,9.0,1.0,1.0,2.0,3.3333333333333335,6.0,1.0,7.0,3.3333333333333335,5.0,2.0,8.0,2.0,2.0,2.0,2.0,4.0,0.0,2.0,9.0,2.0,5.0,0.0,11.0,6.0,2.0,11.0,0.0,2.0,6.0,1.0,2.0,7.0,6.0,3.3333333333333335,1.0,1.0,7.0,False,145.00000000000003,3.815789473684211,35,145.0,4.142857142857143,6.5,Forward,,3.8666666666666663,3.2666666666666666
123,Jacob Murphy,Newcastle,2.0,2.0,11.666666666666666,3.0,1.0,0.0,7.0,1.0,8.0,3.0,7.0,2.0,3.0,4.0,6.666666666666667,11.666666666666666,5.0,3.0,11.666666666666666,5.0,6.666666666666667,1.0,6.0,1.0,5.0,5.0,2.0,2.0,5.0,1.0,6.666666666666667,0.0,2.0,2.0,2.0,0.0,1.0,4.0,False,150.0,3.9473684210526314,35,150.0,4.285714285714286,6.5,Midfielder,,3.8666666666666663,3.9333333333333327
481,Ola Aina,Nott'm Forest,1.0,1.0,15.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,4.0,8.0,6.0,6.0,8.0,6.0,1.0,6.0,4.0,4.0,2.0,6.0,15.0,6.0,4.0,2.0,2.0,4.0,1.0,2.0,4.0,2.0,4.0,4.0,2.0,1.0,1.0,1.0,False,128.0,3.3684210526315788,32,128.0,4.0,5.0,Defender,10.0,3.863157894736842,5.2631578947368425
479,Nikola Milenković,Nott'm Forest,1.0,2.0,6.0,1.0,6.0,2.6666666666666665,5.0,2.0,0.0,6.0,2.6666666666666665,6.0,6.0,6.0,6.0,6.0,1.0,6.0,2.0,1.0,8.0,5.0,6.0,6.0,6.0,2.0,2.0,1.0,0.0,2.0,2.0,9.0,2.6666666666666665,6.0,5.0,1.0,7.0,0.0,False,145.0,3.8157894736842106,35,145.0,4.142857142857143,5.5,Defender,26.0,3.8508771929824563,3.8842105263157896
50,Antoine Semenyo,Bournemouth,2.0,2.0,1.0,1.0,5.0,2.6666666666666665,10.0,3.0,9.0,2.0,1.0,3.0,2.6666666666666665,3.0,1.0,8.0,8.333333333333334,2.0,12.0,2.0,3.0,1.0,2.0,0.0,2.0,6.0,6.0,8.333333333333334,1.0,2.6666666666666665,9.0,4.0,5.0,8.333333333333334,3.0,5.0,10.0,8.0,False,165.00000000000003,4.342105263157896,37,165.00000000000003,4.4594594594594605,7.0,Midfielder,,3.7666666666666666,2.2
597,Declan Rice,Arsenal,10.0,2.3333333333333335,0.0,0.0,10.0,2.0,1.0,2.0,7.0,3.25,3.25,2.0,2.0,5.0,2.0,3.0,2.0,-2.0,2.0,2.0,5.0,3.0,7.0,3.25,2.3333333333333335,1.0,0.0,3.0,4.0,3.0,3.0,9.0,1.0,11.0,1.0,2.0,2.3333333333333335,11.0,False,130.75,3.4407894736842106,35,130.75,3.7357142857142858,6.5,Midfielder,,3.7583333333333337,4.466666666666667
